Sentiment,Tweet
0,I would want to be with you 
0,"@ItsChelseaStaub i want coffe  but my mom don't let me xd btw u rock in Jonas, you're the best!!"
0,i wish that i could go outside today 
1,"At work again, such a shame with this weather... "
0,whats up twitterland???!!!   On my way to get my tattoo! I think I feel kinda scared 
1,@iamabhimanyu thanks 
1,"@Shin_Shan  awh, yey "
0,"Be careful of what u tweet. Becoz I tweet pimples earlier, Acne Cure now follows me.    Very uncool leh."
0,"@druschmidtperki Damn, I thought a new phone would help! Still can't get it to work as it should "
0,"i hate wakein up early, it sux. i have nothing 2do after i excercise "
0,@piksels @jeffsimons i know... 
1,@mileycyrus what about Mexican fans? 
0,This case makes my phone so dirty  and I just saw the schools spaghetti and it looks like worms. Grossss
0,@JonnyT_TBoy aw  all my friends support me when i started doing it
0,"@jash001 but i need about another 200 pages  and i'm sniggering away, oh how I laugh...ha ha ha! ;)"
1,Miley pwns  &lt; Thats a fact  Just thought i'd let you know (:
0,Damn tired and still here till 17u 
1,i met suzanne shaw last night  in vagina monlogues fab show!
0,http://bit.ly/15Qfjk  ----- i envy her 
0,Mp pet results to be declared today evening or tomorow morning  more to w8
0,@chonson what's the bad news? 
0,*sigh* I miss my buff fam and my mom is annoying me  this shit sucks!
1,@travisking yep it's major fun! like party time in that place! 
0,bangalore has to get past the deccan team on 21st or tuesday agst the daredevils (unlikely  ) #ipl #superbowl
1,"According to @xDorkyStacy, Min Jee Kwon sounds better. I agree! Heehee.  Ah, stacy! â¥"
0,@advantx How long did it take you to update?? iPhone software updates always take me FOREVER 
0,@AlexAllTimeLow so bummed I couldn't come  you're in brisbane so drive up about 17 hours and you'll reach where I live.
1,"@lbuchele Ha! no , I didn't hear it.  Thanks so much for the meeting. Went great! Just back in Eugene and having some @CafeYumm."
1,@belle_lulu well good morning... and most definately happy Friday 
0,"@angieg415 @jenisue heyo look at me, two (three!) tweets in as many hours!  but i must say, this twitter biz makes me uncomfortable "
0,i really hate having to do the millions of packets for finals 
0,@Broadway009 with a cute guy... i wishhh. i don't have a man  find me someone cute! haha. how are you doing?
0,Not feeling very well   
0,"Tati, I sent you an emal doll, did you get it?    @littletati"
0,@DestinyMarselle eehh it's okay  @shenzy that's exactly where I was thinking holy mind reader
0,what a rainy ending... you make me so bad. I think that the best is going to be ... forguetYOU.AND ALL THAT MAKES ME REMEMBER OF youboy. 
0,"okay so this is my first post ever on twitter...i'm having the worst luck understanding it all, and i can't upload any of my pictures "
0,@vintagepolka her cousin's son passed away in an accident.. 
1,"@BBlane lol, yes I tripped over the sunset and unfortunately broke my arm "
1,it's SATURDAY 
0,@srkneo vacation!! u're luuuckYY! i'm trying to study 
1,@LindaShantzArt Your welcome! Excited to see other participants 
0,"@Blue_Bunny still couldnt find your ice cream today, I swear no one around here carries it  daughters b.day party tomorrow"
0,watching the Chapelle show and DMX is on here. I really miss him. 
1,@blottedcopybook yay!! well done you :p  @enhance_me does beautiful portraits 
1,"@KisseyAsplund Really? It's nice and warm here in Atlanta,GA . I want to visit Stockholm. I bet it's nice "
1,Having a cook out for ky today at 630 more than welcome to come. 
1,i read marked sooo good &gt;.&lt; i just started da second book...just as good as da first. finally got back from colorado sooo glad to be home 
0,"Trying really hard to get my iPhone's sim reader tray thing to work again!  I'm pushing things in it, and moving things around!!"
1,"@edrafalko if you do, send out an invite. I'd love to help ya do some damage on those bottles! "
1,@ AceBurpeeShow   i live in selkirk 
0,@JHVanOphem - oh sod. *hugs hugs hugs*  And *hugs hugs hugs* to @OzAtheist of the sad songs who makes me feel useful. 
0,"@beckerbuns Scooter broke  It was four years old, it was time. @caseyzero has control of it now, is turning into mad science. Be afraid."
0,"Had the most awesome day: beach in the morning, walked on the boardwalk in the afternoon. Too bad we leave tomorrow "
0,i wish real people would follow me 
1,Lovely to see all of the tweets about drawing and sketching coming out of #uxlondon today. More please. 
0,@Kathrynsweets  Clean Me!
0,"so oracle bought sun? can't wait to see databases implemented in java... ftw!  oh wait, no... ftl "
1,@reikiawakening I just sent you an email about my zine. Once you've checked it out please let me know if you're interested. 
1,@apoorvkhatreja OH. You in 2nd sem.. i forgot we too had this... Continue continue.. 
0,It's official I need a new case my iPhone : I have gone through 3 or 4 
0,"@HerrWulf thats half the problem, But ive been working since 6  i prob wont get to stop til Gone 6 my lift home has pissed off so Dire! "
0,"@joemuggs urgh...Grime, me no likey "
0,OMG. It turns out that I should write longer proposal of AES Convention than I expect. 
1,"@piginthepoke Good morning, no I was tucked up in bed last night. A late night for you then. "
0,@anneh632 please don't take points off for my lack of spelling skills 
0,Crap! I just realized that Father's Day is 2 DAYS AWAY and I still haven't bought a gift. 
0,At the pediatrician for Campbell's 4 month old shots  #fb
0,Can't go to twain with my secret booby! 
1,@hhmcsharry YOU TOO  !!!!
0,"My laptop keeps switching off due to overheating. I think im gonna have to send it back, but that means no net or podcasts! "
0,thought this tiredness would only occur during the school year 
0,"Whatever, I guess. I just hope that this new #aptana works. PLEASE don't make me go back to #Dreamweaver, bleh. "
0,working over time 
1,@realisation Fabulous Comb Natalia! love your photo's too 
1,"@AmyAllTimeLow I hope I can too, that is also why I am turning up early and chilling after the show "
0,My lil ones are gone for the summer  I shall miss them. Now... time to focus! Moving on...
0,Ekh. How come I don't have summer plans and a countdown!! 
0,@headbandHEATHAH Apparently Disney fans  JERKS.
0,"@melodysong too many letters, pain  i might just put 'dunlop'"
1,@AlexAllTimeLow connecticut or boston  for sure
0,yay yay!!! twitter is back! woo. i was worried cause xbox live is down too 
0,To Canada! God it's early... 
1,@galleysmith It's not really a problem until you have to have someone carry all the books to the car! 
1,@jayson_r I do that with my iPhone... support group? 
0,"had a late saturday but its time for some æ¼¢å­!,  have to catch up with some 200 reviews,  why did i let it pile up??"
0, Finished my paper!!!!!!!!!! But............   smh
0,Sirens are going off 
0,@kaylacollins what the hell I'm always left out 
0,my cat killed my mom's cel... and I killed my favorite nail trying to fix it 
0,@officialTila Sad you picked Torontonian girls over guys last night  Ha!
0,No backup strippers.  I expect to have this favor returned X2 next Wendsday since I'll have 2 APs. Colton+Lloyd double performance?
1,"OMiGOSH OMiGOSH ! Anyone Else See Big Brother ? Oh Btw,! I Have Official Ownage On Cairon ;) He's Gorgeous ;P Ohh And Kris  He's Lushh"
1,"Just finished updating my myspace page, with pictures of my baby... he is such a cute kitten, he cries when he wants his mommy! "
1,@ElaineButcher Just keep doing what you're doing and I love Western Australia. 
0,"@saabmagalona I can't make it, doll, I have a family thing, we're gonna bring our dog na to be put to sleep "
1,Good Morning folks around twitter world.. is twitter world bigger then the real world??? well ... think about it. 
0,I don't know how to turn my avatar green in a timely fashion...  Tips?
1,just received a hilarious drunken phone call from her besty 
1,"@MikellRenee yes, my getaway in the day! "
1,Happy Mothers Day Mum 
0,Starved and waiting for the game to start. I hope I don't throw up 
0,Why does my son's coach always schedule a practice on Saturday? I'm supposed to be at the gym. 
0,Laying in bed...lagging.  I don't want to go to the dentist!  I'm going to get up soon.
0,@TheLastDoctor Voted again! Only several thousand more votes to go. And no-one's put me forward. 
0,"no IPL  , only MDM"
1,@ovi_sirb oops  lasÄ cÄ n-am atÃ¢Å£ia followeri
1,"Ok, that went the way i wanted it to go! "
1,"shooting the Doritos ad and rehearsing Feline with our director, my good friend, Greg Coffey "
1,@DeeptiBella Good luck with ur finals  When ur all done i'll take u out somewhere really nice! U have to come to Portland tho. ;)
1,I think sts-400 should have been launched anyway. Do some formation flying while up there. And xchange crews  #nasa #sts-125 #sts-400
1,@StLCardsGuy Bring on your ridicule. I have been a Cubs fan my whole life and I live in St. Louis.  I can take anything you throw at me. 
0,Isn't ready to say goodbye 
1,@1sweetwhirl love your bio...&quot;be real or go home&quot; ...Lol...Most definitely!- Had to follow you 
0,"Watching planet earth with atisha, josh, jake, zoey and emma hollly shit a baby thing just got eated "
0,@Pcfhdave sorry about that!! Hope his neck is ok 
0,someone b my friend?  http//www.facebook.com/hrtdlovebrkn
0,@AdrianaMarshall well then don't pick them out and stay here with your friends. lol jk i know u can't do that. 
0,@CdOt2 I'm at work so I can't  ohhhhh but when I get off its on
1,"Lovin' the 'block' function! Out of sight, out of mind "
0,Really sad my weekend is over  it will be a while before i spend time with Andi like that again...
1,just right  @mellomatic ? http://blip.fm/~79lqn
0,@natasha4985 nall baby popular qoutables we know 
0,@himynameisjaz we should have followed them to macdonalds  are we going to the airport when they leave?
1,@musicjunkie11 eat eat eat 
0,is in the 1st lecture of the day i wanna be ouutside 
1,So I've decided for my bday to treat myself to a new pair of sunglasses and handbag 
